2025-03-03 to 06|[CECAM Flagship Workshop Density Functional Theory and Artificial Intelligence learning from each other](https://cecam.org/workshop-details/density-functional-theory-and-artificial-intelligence-learning-from-each-other-1281)|Lausanne, Switzerland||qmat
2025-03-03 to 07|[International Conference on Scientific Computing and Machine Learning (SCML 2025)](https://scml.jp)|Kyoto, Japan and online||stat-ml
2025-03-03 to 07|[SIAM Conference on Computational Science and Engineering (CSE 2025)](https://siam.org/conferences-events/siam-conferences/cse25/)|Fort Worth, TX, USA||comp-na
2025-03-03 to 14|[CeNAM Nucleosynthesis Uncertainties Workshop](https://sites.google.com/view/nucleosynthesis-uncertainties)|Seattle, WA, USA||nuclear
2025-03-04 to 06|[International Conference on Optimization (SIGOPT 2025)](https://sigopt2025.uni-siegen.de)|Siegen, Germany||comp-op
2025-03-04 to 07|[42nd International Symposium on Theoretical Aspects of Computer Science (STACS 2025)](https://stacs2025.de)|Jena, Germany||cs-al
2025-03-04 to 08|[45th International Joint Workshop on Infinite Dimensional Analysis, Quantum Probability and Related Topics (QP 2025) and Quantum Bio-Informatics (QBIC 2025)](https://sites.google.com/view/qp45-qbic2025)|Tokyo, Japan||comp-qc
2025-03-09 to 12|[Mesilla Chemistry Workshop 2025 Machine Learning in Molecular and Multiscale Dynamics](https://chemistry.nmsu.edu/mesilla-chemistry-workshop/meeting-2025.html)|Mesilla, NM, USA||qmat
2025-03-09 to 14|[Oberwolfach Workshop on Mathematical Methods in Quantum Chemistry](https://mfo.de/occasion/2511/www_view)|Oberwolfach, Germany||qchem
2025-03-09 to 14|[Workshop on Efficient Approximate Bayesian Inference (BIRS 25w5335)](https://birs.ca/events/2025/5-day-workshops/25w5335)|Banff, AB, Canada||stat-th
2025-03-11 to 13|[Synergies of Machine Learning and Numerics](https://conf.rupp.ink/osaka25/)|Osaka, Japan||comp-ml
2025-03-11 to 14|[17th German Probability and Statistics Days (GPSD 2025)](https://gpsd-2025.de)|Dresden, Germany||stoch
2025-03-11 to 14|[WE-Heraeus Seminar on Operator Theory and Polynomial Optimization in Quantum Information Theory](https://we-heraeus-stiftung.de/veranstaltungen/operator-theory-and-polynomial-optimization-in-quantum-information-theory/)|Bad Honnef, Germany||comp-qc
2025-03-12 to 13|[Nuclear Physics in Plasma Environments](https://iop.eventsair.com/nppe2025/)|London, UK||nuclear
2025-03-17 to 21|[Quantum Resources 2025](https://2025.quantumresources.science/)|Jeju Island, Korea||comp-qc
2025-03-18|[1st Open Source Software for Fusion Energy (OSSFE 2025)](https://ossfe.github.io)|Online||plas-ph
2025-03-19 to 22|[Seminar on Stochastic Processes (SSP 2025)](https://ssp.stat.indiana.edu)|Bloomington, IN, USA||stoch
2025-03-22 to 23|[Deep Reconstruction Workshop 2025](https://aiai.jhu.edu/deep_reconstruction_workshop_2025/)|Baltimore, MD, USA||comp-in
2025-03-23 to 28|[Dagstuhl Seminar 25132 Approximation Algorithms for Stochastic Optimization](https://dagstuhl.de/25132)|Wadern, Germany||cs-al
2025-03-23 to 28|[Oberwolfach Workshop on Frontiers of Statistics and Machine Learning](https://mfo.de/occasion/2513/www_view)|Oberwolfach, Germany||stat-ml
2025-03-24 to 26|[1st Annual Meeting of EMS-AI activity group on Scientific Machine Learning](https://mate.polimi.it/events/EMS-TAG-SciML-25/)|Milan, Italy||comp-ml
2025-03-24 to 28|[Conference AI4Quantum - Accelerating Quantum Computing with AI](https://sciencecluster.dk/event/conference-ai4quantum/)|Hillerød, Denmark||comp-qc
2025-03-27 to 28|[Symposium Can Ice Be Described from First Principles?](https://cas-nor.no/index.php/events/young-cas-fellow-symposium-can-ice-be-described-first-principles)|Oslo, Norway||qchem
2025-03-31 to 04-02|[37th Molecular Modeling Workshop (MMWS 2025)](https://mmws2025.mgms-ds.de)|Erlangen, Germany||qmol
2025-03-31 to 04-02|[6th Manchester Multiscale Conference by CCPBioSim and CCP5](https://ccpbiosim.ac.uk/multiscale2025)|Manchester, UK||comp-na
2025-03-31 to 04-02|[International Conference on Quantum Communications, Networking, and Computing (QCNC 2025)](https://ieee-qcnc.org/2025/)|Nara, Japan||comp-qc
2025-03-31 to 04-03|[CECAM Flagship Workshop Fulfilling the Multiscale Promise in Materials: Getting Information out of the Atomistic Scale](https://cecam.org/workshop-details/fulfilling-the-multiscale-promise-in-materials-getting-information-out-of-the-atomistic-scale-1283)|Lausanne, Switzerland & online||qmat
2025-03-31 to 04-04|[8th Workshop on Algebraic Complexity Theory (WACT 2025)](https://qi.rub.de/wact)|Bochum, Germany||cs-al
2025-03-31 to 04-04|[IMSI Workshop Kernel Methods in Uncertainty Quantification and Experimental Design](https://imsi.institute/activities/kernel-methods-in-uncertainty-quantification-and-experimental-design/)|Chicago, IL, USA||comp-uq
2025-04-02 to 04|[(3rd Workshop on) Reinforcement Learning for Autonomous Accelerators (RL4AA 2025)](https://rl4aa.github.io/RL4AA25/)|Hamburg, Germany||stat-th
2025-04-05 to 06|[IEEE 4th International Conference on Computing and Machine Intelligence (ICMI 2025)](https://icmiconf.com)|Mount Pleasant, MI, USA||stat-ml
2025-04-07 to 09|[Stochastic Equations and Particle Systems, Mathematical Models in Statistical Physics](https://www1.mat.uniroma1.it/people/bertini/seps)|Rome, Italy||stat-th
2025-04-07 to 09|[Workshop On Randomness and Discrete Structures (WORDS 2025)](https://sites.google.com/rug.nl/words2025/)|Groningen, The Netherlands||cs-al
2025-04-07 to 10|[51st Annual IOP Plasma Physics Conference](https://iop.eventsair.com/plasma2025/)|London, UK||plas-ph
2025-04-07 to 10|[6th European Conference on Plasma Diagnostics (ECPD 2025)](https://indico.ipp.cas.cz/event/30/)|Prague, Czech Republic||plas-ph
2025-04-07 to 11|[ICMS Workshop on Numerical Modelling of Nonlinear Stochastic Systems](https://icms.org.uk/workshops/2025/numerical-modelling-nonlinear-stochastic-systems)|Edinburgh, UK||stoch
2025-04-07 to 11|[Inertial Fusion Energy Science and Technology Accelerated Research (IFE-STAR) Conference](https://events.bizzabo.com/IFESTAR)|Breckenridge, CO, USA||plas-am
2025-04-07 to 18|[10th CECAM School and Workshop on Time-Dependent Density-Functional Theory: Prospects and Applications](https://cecam.org/workshop-details/10th-school-and-workshop-on-time-dependent-density-functional-theory-prospects-and-applications-1340)|Benasque, Spain||qmat
2025-04-08 to 11|[3rd Joint ECFA-NuPECC-ApPEC Symposium (JENAS 2025)](https://indico.global/event/5574/)|Didcot, Oxfordshire, UK||nuclear
2025-04-08 to 11|[5th ICFA Beam Dynamics Mini-Workshop on Machine Learning for Particle Accelerators](https://indico.cern.ch/event/1382428/)|Geneva, Switzerland||comp-ml
2025-04-09 to 11|[4th Probability, Analysis and Dynamics conference (PAD 2025)](https://people.maths.bris.ac.uk/~mb13434/pad25/)|Bristol, UK||stat-th
2025-04-13 to 17|[22nd Copper Mountain Conference on Multigrid Methods](https://grandmaster.colorado.edu/copper/2025/)|Copper Mountain, CO, USA||comp-na
2025-04-14 to 17|[IEEE International Symposium on Biomedical Imaging (ISBI 2025)](https://biomedicalimaging.org/2025/)|Houston, TX, USA||comp-in
2025-04-15 to 18|[12th International Workshop on Warm Dense Matter (WDM 2025)](https://sandia.gov/wdm/)|Santa Fe, NM, USA||**plas-am**
